IDHM - Ãndice de Desenvolvimento Humano Municipal,,,,,,,,,,,,,,,,,,
Sigla,CÃ³digo,Estado,1991,2000,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AC,12,Acre,402,517,663,705,709,719,719,723,711,731,738,736,702,732,"0,74",754
AL,27,Alagoas,"0,37",471,631,657,653,"0,67",669,"0,68",682,694,693,694,691,722,739,746
AM,13,Amazonas,"0,43",515,674,706,717,"0,72",724,723,743,732,739,725,"0,7",757,764,767
AP,16,AmapÃ¡,472,577,708,709,735,726,728,732,731,737,732,707,681,743,767,759
BA,29,Bahia,386,512,"0,66",684,686,"0,7",708,708,715,714,723,726,698,734,"0,74",759
CE,23,CearÃ¡,405,541,682,709,712,717,723,727,737,746,754,753,"0,74",759,773,773
DF,53,Distrito Federal,616,725,824,824,834,834,833,842,842,845,"0,86",837,823,867,"0,87",866
ES,32,EspÃ­rito Santo,505,"0,64","0,74",747,755,763,766,766,769,776,"0,78",773,754,782,803,804
GO,52,GoiÃ¡s,487,615,735,744,753,759,758,765,"0,77",776,"0,78",777,755,797,809,815
MA,21,MaranhÃ£o,357,476,639,669,682,683,"0,69",698,704,706,715,715,701,"0,73","0,74",745
MG,31,Minas Gerais,478,624,731,743,751,764,767,"0,77",777,778,787,782,763,793,803,809
MS,50,Mato Grosso do Sul,488,613,729,732,741,743,737,755,758,767,774,771,748,781,"0,79",797
MT,51,Mato Grosso,449,601,725,743,757,761,767,766,769,"0,78",782,767,745,794,795,812
PA,15,ParÃ¡,413,518,646,677,684,696,701,697,705,719,717,723,706,734,753,758
PB,25,ParaÃ­ba,382,506,658,679,675,697,"0,71",712,725,719,721,716,703,737,757,"0,76"
PE,26,Pernambuco,"0,44",544,673,692,708,"0,72",722,"0,72","0,72",734,"0,74","0,73",716,745,754,767
PI,22,PiauÃ­,362,484,646,"0,68","0,7",705,711,707,715,719,727,724,716,743,761,764
PR,41,ParanÃ¡,507,"0,65",749,763,773,779,776,786,787,797,799,793,767,"0,8",812,822
RJ,33,Rio de Janeiro,573,664,761,755,761,771,774,776,778,792,795,781,763,804,813,819
RN,24,Rio Grande do Norte,428,552,684,695,708,721,731,729,723,734,738,742,723,744,763,778
RO,11,RondÃ´nia,407,537,"0,69",708,702,709,"0,72",724,"0,74",751,752,752,708,762,768,786
RR,14,Roraima,459,598,707,761,757,762,767,761,758,767,757,735,694,763,769,"0,78"
RS,43,Rio Grande do Sul,542,664,746,753,762,767,775,776,781,784,788,787,772,796,806,818
SC,42,Santa Catarina,543,674,774,782,791,796,798,801,804,807,814,805,789,811,821,833
SE,28,Sergipe,408,518,665,691,689,702,703,702,705,716,713,722,712,738,748,761
SP,35,SÃ£o Paulo,578,702,783,803,809,815,813,824,"0,82",826,833,822,801,828,836,838
TO,17,Tocantins,369,525,699,721,"0,73",749,739,739,749,"0,76",762,"0,76",731,777,789,797
